Country_Name,Country_Code,Region,Year,Fertility_Rate,GDP_Per_Capita
Albania,ALB,Europe and Central Asia,2008,1.625,"4,370.54"
Albania,ALB,Europe and Central Asia,2009,1.636,"4,114.14"
Albania,ALB,Europe and Central Asia,2010,1.663,"4,094.36"
Albania,ALB,Europe and Central Asia,2011,1.699,"4,437.81"
Albania,ALB,Europe and Central Asia,2012,1.735,"4,247.84"
Albania,ALB,Europe and Central Asia,2013,1.765,"4,412.35"
Albania,ALB,Europe and Central Asia,2014,1.784,"4,568.57"
Albania,ALB,Europe and Central Asia,2015,1.793,"3,945.22"
Algeria,DZA,Middle East and North Africa,1960,7.524,244.82
Algeria,DZA,Middle East and North Africa,1961,7.573,213.49
Algeria,DZA,Middle East and North Africa,1962,7.614,171.21
Algeria,DZA,Middle East and North Africa,1963,7.646,225.53
Algeria,DZA,Middle East and North Africa,1964,7.665,236.61
Algeria,DZA,Middle East and North Africa,1965,7.675,248.38
Algeria,DZA,Middle East and North Africa,1966,7.676,234.19
Algeria,DZA,Middle East and North Africa,1967,7.672,252.42
Algeria,DZA,Middle East and North Africa,1968,7.666,280.27
Algeria,DZA,Middle East and North Africa,1969,7.656,300.98
Algeria,DZA,Middle East and North Africa,1970,7.643,334.26
Algeria,DZA,Middle East and North Africa,1971,7.624,339.38
Algeria,DZA,Middle East and North Africa,1972,7.597,439.73
Algeria,DZA,Middle East and North Africa,1973,7.558,551.43
Algeria,DZA,Middle East and North Africa,1974,7.505,813.05
Algeria,DZA,Middle East and North Africa,1975,7.434,931.11
Algeria,DZA,Middle East and North Africa,1976,7.344,"1,031.30"
Algeria,DZA,Middle East and North Africa,1977,7.234,"1,185.51"
Algeria,DZA,Middle East and North Africa,1978,7.105,"1,447.62"
Algeria,DZA,Middle East and North Africa,1979,6.957,"1,771.97"
Algeria,DZA,Middle East and North Africa,1980,6.794,"2,189.78"
Algeria,DZA,Middle East and North Africa,1981,6.617,"2,223.70"
Algeria,DZA,Middle East and North Africa,1982,6.43,"2,197.11"
Algeria,DZA,Middle East and North Africa,1983,6.237,"2,298.88"
Algeria,DZA,Middle East and North Africa,1984,6.038,"2,452.66"
Algeria,DZA,Middle East and North Africa,1985,5.835,"2,567.50"
Algeria,DZA,Middle East and North Africa,1986,5.627,"2,740.65"
Algeria,DZA,Middle East and North Africa,1987,5.412,"2,790.47"
Algeria,DZA,Middle East and North Africa,1988,5.191,"2,402.83"
Algeria,DZA,Middle East and North Africa,1989,4.962,"2,202.56"
Algeria,DZA,Middle East and North Africa,1990,4.726,"2,394.42"
Algeria,DZA,Middle East and North Africa,1991,4.479,"1,721.58"
Algeria,DZA,Middle East and North Africa,1992,4.223,"1,766.07"
Algeria,DZA,Middle East and North Africa,1993,3.962,"1,797.54"
Algeria,DZA,Middle East and North Africa,1994,3.702,"1,499.98"
Algeria,DZA,Middle East and North Africa,1995,3.448,"1,444.91"
Algeria,DZA,Middle East and North Africa,1996,3.208,"1,596.01"
Algeria,DZA,Middle East and North Africa,1997,2.988,"1,611.96"
Algeria,DZA,Middle East and North Africa,1998,2.796,"1,588.42"
Algeria,DZA,Middle East and North Africa,1999,2.635,"1,580.96"
Algeria,DZA,Middle East and North Africa,2000,2.514,"1,757.02"
Algeria,DZA,Middle East and North Africa,2001,2.438,"1,732.96"
Algeria,DZA,Middle East and North Africa,2002,2.404,"1,774.29"
Algeria,DZA,Middle East and North Africa,2003,2.407,"2,094.89"
Algeria,DZA,Middle East and North Africa,2004,2.441,"2,600.01"
Algeria,DZA,Middle East and North Africa,2005,2.499,"3,102.04"
Algeria,DZA,Middle East and North Africa,2006,2.576,"3,467.54"
Algeria,DZA,Middle East and North Africa,2007,2.661,"3,939.56"
Algeria,DZA,Middle East and North Africa,2008,2.744,"4,912.25"
Algeria,DZA,Middle East and North Africa,2009,2.818,"3,875.82"
Algeria,DZA,Middle East and North Africa,2010,2.873,"4,473.49"
Algeria,DZA,Middle East and North Africa,2011,2.903,"5,447.40"
Algeria,DZA,Middle East and North Africa,2012,2.909,"5,583.62"
Algeria,DZA,Middle East and North Africa,2013,2.893,"5,492.12"
Algeria,DZA,Middle East and North Africa,2014,2.857,"5,496.00"
Algeria,DZA,Middle East and North Africa,2015,2.805,"4,154.12"
Angola,AGO,Sub-Saharan Africa,1985,7.279,685.93
Angola,AGO,Sub-Saharan Africa,1986,7.268,666.87
Angola,AGO,Sub-Saharan Africa,1987,7.256,649.88
Angola,AGO,Sub-Saharan Africa,1988,7.242,633.91
Angola,AGO,Sub-Saharan Africa,1989,7.226,926.6
Angola,AGO,Sub-Saharan Africa,1990,7.208,901.05
Angola,AGO,Sub-Saharan Africa,1991,7.187,"1,056.35"
Angola,AGO,Sub-Saharan Africa,1992,7.164,479.73
Angola,AGO,Sub-Saharan Africa,1993,7.139,430.99
Angola,AGO,Sub-Saharan Africa,1994,7.112,320.94
Angola,AGO,Sub-Saharan Africa,1995,7.083,386.39
Angola,AGO,Sub-Saharan Africa,1996,7.051,560.64
Angola,AGO,Sub-Saharan Africa,1997,7.017,554.16
Angola,AGO,Sub-Saharan Africa,1998,6.981,454.27
Angola,AGO,Sub-Saharan Africa,1999,6.943,421.38
Angola,AGO,Sub-Saharan Africa,2000,6.905,606.27
Angola,AGO,Sub-Saharan Africa,2001,6.866,574.19
Angola,AGO,Sub-Saharan Africa,2002,6.829,775.77
Angola,AGO,Sub-Saharan Africa,2003,6.792,850.08
Angola,AGO,Sub-Saharan Africa,2004,6.755,"1,135.60"
Angola,AGO,Sub-Saharan Africa,2005,6.716,"1,576.16"
Angola,AGO,Sub-Saharan Africa,2006,6.671,"2,253.84"
Angola,AGO,Sub-Saharan Africa,2007,6.619,"3,151.02"
Angola,AGO,Sub-Saharan Africa,2008,6.559,"4,242.36"
Angola,AGO,Sub-Saharan Africa,2009,6.492,"3,678.95"
Angola,AGO,Sub-Saharan Africa,2010,6.416,"3,886.48"
Angola,AGO,Sub-Saharan Africa,2011,6.335,"4,744.99"
Angola,AGO,Sub-Saharan Africa,2012,6.251,"5,086.85"
Angola,AGO,Sub-Saharan Africa,2013,6.165,"5,327.15"
Angola,AGO,Sub-Saharan Africa,2014,6.08,"5,232.76"
Angola,AGO,Sub-Saharan Africa,2015,5.996,"4,101.47"
Antigua and Barbuda,ATG,Latin America and Caribbean,1977,2.358,941.92
Antigua and Barbuda,ATG,Latin America and Caribbean,1978,2.239,"1,061.66"
Antigua and Barbuda,ATG,Latin America and Caribbean,1979,2.159,"1,307.40"
Antigua and Barbuda,ATG,Latin America and Caribbean,1980,2.115,"1,565.65"
Antigua and Barbuda,ATG,Latin America and Caribbean,1981,2.098,"1,784.42"
Antigua and Barbuda,ATG,Latin America and Caribbean,1982,2.096,"2,000.75"
Antigua and Barbuda,ATG,Latin America and Caribbean,1983,2.098,"2,255.37"
Antigua and Barbuda,ATG,Latin America and Caribbean,1984,2.098,"2,595.02"
Antigua and Barbuda,ATG,Latin America and Caribbean,1985,2.092,"3,070.44"
Antigua and Barbuda,ATG,Latin America and Caribbean,1986,2.082,"3,806.15"
Antigua and Barbuda,ATG,Latin America and Caribbean,1987,2.07,"4,512.54"
Antigua and Barbuda,ATG,Latin America and Caribbean,1988,2.062,"5,415.85"
Antigua and Barbuda,ATG,Latin America and Caribbean,1989,2.058,"6,025.85"
Antigua and Barbuda,ATG,Latin America and Caribbean,1990,2.061,"6,325.24"
Antigua and Barbuda,ATG,Latin America and Caribbean,1991,2.073,"6,575.48"
Antigua and Barbuda,ATG,Latin America and Caribbean,1992,2.096,"6,680.38"
Antigua and Barbuda,ATG,Latin America and Caribbean,1993,2.128,"7,037.94"
Antigua and Barbuda,ATG,Latin America and Caribbean,1994,2.166,"7,514.48"
Antigua and Barbuda,ATG,Latin America and Caribbean,1995,2.208,"7,230.32"
Antigua and Barbuda,ATG,Latin America and Caribbean,1996,2.248,"7,702.67"
Antigua and Barbuda,ATG,Latin America and Caribbean,1997,2.281,"8,027.63"
Antigua and Barbuda,ATG,Latin America and Caribbean,1998,2.304,"8,355.62"
Antigua and Barbuda,ATG,Latin America and Caribbean,1999,2.316,"8,572.37"
Antigua and Barbuda,ATG,Latin America and Caribbean,2000,2.316,"10,094.76"
Antigua and Barbuda,ATG,Latin America and Caribbean,2001,2.305,"9,797.97"
Antigua and Barbuda,ATG,Latin America and Caribbean,2002,2.288,"10,027.86"
Antigua and Barbuda,ATG,Latin America and Caribbean,2003,2.268,"10,382.63"
Antigua and Barbuda,ATG,Latin America and Caribbean,2004,2.246,"10,993.37"
Antigua and Barbuda,ATG,Latin America and Caribbean,2005,2.224,"12,079.87"
Antigua and Barbuda,ATG,Latin America and Caribbean,2006,2.203,"13,599.91"
Antigua and Barbuda,ATG,Latin America and Caribbean,2007,2.183,"15,276.07"
Antigua and Barbuda,ATG,Latin America and Caribbean,2008,2.164,"15,786.17"
Antigua and Barbuda,ATG,Latin America and Caribbean,2009,2.146,"13,979.26"
Antigua and Barbuda,ATG,Latin America and Caribbean,2010,2.13,"13,017.31"
Antigua and Barbuda,ATG,Latin America and Caribbean,2011,2.115,"12,817.84"
Antigua and Barbuda,ATG,Latin America and Caribbean,2012,2.102,"13,525.62"
Antigua and Barbuda,ATG,Latin America and Caribbean,2013,2.088,"13,342.08"
Antigua and Barbuda,ATG,Latin America and Caribbean,2014,2.075,"13,432.08"
Antigua and Barbuda,ATG,Latin America and Caribbean,2015,2.063,"13,714.73"
Argentina,ARG,Latin America and Caribbean,1962,3.089,"1,148.58"
Argentina,ARG,Latin America and Caribbean,1963,3.078,845.08
Argentina,ARG,Latin America and Caribbean,1964,3.068,"1,166.32"
Argentina,ARG,Latin America and Caribbean,1965,3.058,"1,272.01"
Argentina,ARG,Latin America and Caribbean,1966,3.051,"1,266.35"
Argentina,ARG,Latin America and Caribbean,1967,3.048,"1,057.76"
Argentina,ARG,Latin America and Caribbean,1968,3.049,"1,136.52"
Argentina,ARG,Latin America and Caribbean,1969,3.056,"1,324.08"
Argentina,ARG,Latin America and Caribbean,1970,3.073,"1,317.49"
Argentina,ARG,Latin America and Caribbean,1971,3.104,"1,366.35"
Argentina,ARG,Latin America and Caribbean,1972,3.148,"1,401.49"
Argentina,ARG,Latin America and Caribbean,1973,3.203,"2,083.97"
Argentina,ARG,Latin America and Caribbean,1974,3.264,"2,824.65"
Argentina,ARG,Latin America and Caribbean,1975,3.321,"2,011.69"
Argentina,ARG,Latin America and Caribbean,1976,3.366,"1,932.59"
Argentina,ARG,Latin America and Caribbean,1977,3.391,"2,112.50"
Argentina,ARG,Latin America and Caribbean,1978,3.391,"2,129.31"
Argentina,ARG,Latin America and Caribbean,1979,3.368,"2,501.48"
Argentina,ARG,Latin America and Caribbean,1980,3.325,"2,738.28"
Argentina,ARG,Latin America and Caribbean,1981,3.27,"2,756.40"
Argentina,ARG,Latin America and Caribbean,1982,3.213,"2,907.76"
Argentina,ARG,Latin America and Caribbean,1983,3.163,"3,530.13"
Argentina,ARG,Latin America and Caribbean,1984,3.123,"2,643.37"
Argentina,ARG,Latin America and Caribbean,1985,3.093,"2,909.52"
Argentina,ARG,Latin America and Caribbean,1986,3.073,"3,595.09"
Argentina,ARG,Latin America and Caribbean,1987,3.056,"3,546.72"
Argentina,ARG,Latin America and Caribbean,1988,3.037,"3,969.33"
Argentina,ARG,Latin America and Caribbean,1989,3.016,"2,375.34"
Argentina,ARG,Latin America and Caribbean,1990,2.989,"4,318.77"
Argentina,ARG,Latin America and Caribbean,1991,2.954,"5,715.50"
Argentina,ARG,Latin America and Caribbean,1992,2.913,"6,798.03"
Argentina,ARG,Latin America and Caribbean,1993,2.866,"6,940.35"
Argentina,ARG,Latin America and Caribbean,1994,2.815,"7,449.48"
Argentina,ARG,Latin America and Caribbean,1995,2.762,"7,373.43"
Argentina,ARG,Latin America and Caribbean,1996,2.711,"7,683.57"
Argentina,ARG,Latin America and Caribbean,1997,2.664,"8,172.67"
Argentina,ARG,Latin America and Caribbean,1998,2.623,"8,248.76"
Argentina,ARG,Latin America and Caribbean,1999,2.589,"7,736.37"
Argentina,ARG,Latin America and Caribbean,2000,2.561,"7,669.27"
Argentina,ARG,Latin America and Caribbean,2001,2.537,"7,170.69"
Argentina,ARG,Latin America and Caribbean,2002,2.516,"2,579.19"
Argentina,ARG,Latin America and Caribbean,2003,2.495,"3,330.43"
Argentina,ARG,Latin America and Caribbean,2004,2.474,"4,251.57"
Argentina,ARG,Latin America and Caribbean,2005,2.452,"5,076.88"
Argentina,ARG,Latin America and Caribbean,2006,2.432,"5,878.78"
Argentina,ARG,Latin America and Caribbean,2007,2.413,"7,193.68"
Argentina,ARG,Latin America and Caribbean,2008,2.396,"8,953.48"
Argentina,ARG,Latin America and Caribbean,2009,2.382,"8,161.46"
Argentina,ARG,Latin America and Caribbean,2010,2.37,"10,276.51"
Argentina,ARG,Latin America and Caribbean,2011,2.358,"12,727.29"
Argentina,ARG,Latin America and Caribbean,2012,2.347,"12,970.17"
Argentina,ARG,Latin America and Caribbean,2013,2.335,"12,977.13"
Argentina,ARG,Latin America and Caribbean,2014,2.322,"12,245.68"
Argentina,ARG,Latin America and Caribbean,2015,2.308,"13,467.42"
Armenia,ARM,Europe and Central Asia,1990,2.538,636.68
Armenia,ARM,Europe and Central Asia,1991,2.482,589
Armenia,ARM,Europe and Central Asia,1992,2.399,368.92
Armenia,ARM,Europe and Central Asia,1993,2.295,356.51
Armenia,ARM,Europe and Central Asia,1994,2.176,399.75
Armenia,ARM,Europe and Central Asia,1995,2.053,455.55
Armenia,ARM,Europe and Central Asia,1996,1.938,503.23
Armenia,ARM,Europe and Central Asia,1997,1.838,522.52
Armenia,ARM,Europe and Central Asia,1998,1.762,608.34
Armenia,ARM,Europe and Central Asia,1999,1.712,596.51
Armenia,ARM,Europe and Central Asia,2000,1.688,621.42
Armenia,ARM,Europe and Central Asia,2001,1.687,692.3
Armenia,ARM,Europe and Central Asia,2002,1.698,779.83
Armenia,ARM,Europe and Central Asia,2003,1.714,924.46
Armenia,ARM,Europe and Central Asia,2004,1.729,"1,181.97"
Armenia,ARM,Europe and Central Asia,2005,1.737,"1,625.41"
Armenia,ARM,Europe and Central Asia,2006,1.736,"2,126.62"
Armenia,ARM,Europe and Central Asia,2007,1.726,"3,080.97"
Armenia,ARM,Europe and Central Asia,2008,1.707,"3,919.98"
Armenia,ARM,Europe and Central Asia,2009,1.68,"2,915.58"
Armenia,ARM,Europe and Central Asia,2010,1.648,"3,124.78"
Armenia,ARM,Europe and Central Asia,2011,1.613,"3,417.17"
Armenia,ARM,Europe and Central Asia,2012,1.581,"3,565.52"
Armenia,ARM,Europe and Central Asia,2013,1.553,"3,716.83"
Armenia,ARM,Europe and Central Asia,2014,1.531,"3,861.92"
Armenia,ARM,Europe and Central Asia,2015,1.517,"3,489.13"
Aruba,ABW,Latin America and Caribbean,1994,2.108,"17,342.47"
Aruba,ABW,Latin America and Caribbean,1995,2.064,"16,441.38"
Aruba,ABW,Latin America and Caribbean,1996,2.021,"16,586.19"
Aruba,ABW,Latin America and Caribbean,1997,1.979,"17,927.41"
Aruba,ABW,Latin America and Caribbean,1998,1.94,"19,081.57"
Aruba,ABW,Latin America and Caribbean,1999,1.905,"19,356.42"
Aruba,ABW,Latin America and Caribbean,2000,1.874,"20,619.57"
Aruba,ABW,Latin America and Caribbean,2001,1.848,"20,671.55"
Aruba,ABW,Latin America and Caribbean,2002,1.825,"20,433.65"
Aruba,ABW,Latin America and Caribbean,2003,1.805,"20,834.94"
Aruba,ABW,Latin America and Caribbean,2004,1.786,"22,566.68"
Aruba,ABW,Latin America and Caribbean,2005,1.77,"23,302.83"
Aruba,ABW,Latin America and Caribbean,2006,1.754,"24,015.42"
Aruba,ABW,Latin America and Caribbean,2007,1.741,"25,921.54"
Aruba,ABW,Latin America and Caribbean,2008,1.728,"27,549.89"
Aruba,ABW,Latin America and Caribbean,2009,1.716,"24,640.42"
Aruba,ABW,Latin America and Caribbean,2010,1.704,"24,289.14"
Aruba,ABW,Latin America and Caribbean,2011,1.692,"25,353.79"
Australia,AUS,East Asia and Pacific,1960,3.453,"1,806.80"
Australia,AUS,East Asia and Pacific,1961,3.54,"1,873.45"
Australia,AUS,East Asia and Pacific,1962,3.442,"1,851.01"
Australia,AUS,East Asia and Pacific,1963,3.332,"1,963.23"
Australia,AUS,East Asia and Pacific,1964,3.146,"2,127.17"
Australia,AUS,East Asia and Pacific,1965,2.977,"2,276.57"
Australia,AUS,East Asia and Pacific,1966,2.881,"2,338.90"
Australia,AUS,East Asia and Pacific,1967,2.848,"2,574.67"
Australia,AUS,East Asia and Pacific,1968,2.888,"2,718.12"
Australia,AUS,East Asia and Pacific,1969,2.886,"2,985.12"
Australia,AUS,East Asia and Pacific,1970,2.859,"3,297.78"
Australia,AUS,East Asia and Pacific,1971,2.961,"3,487.61"
Australia,AUS,East Asia and Pacific,1972,2.744,"3,940.86"
Australia,AUS,East Asia and Pacific,1973,2.491,"4,759.99"
Australia,AUS,East Asia and Pacific,1974,2.397,"6,469.08"
Australia,AUS,East Asia and Pacific,1975,2.148,"6,987.82"
Australia,AUS,East Asia and Pacific,1976,2.06,"7,469.20"
Australia,AUS,East Asia and Pacific,1977,2.007,"7,757.72"
Australia,AUS,East Asia and Pacific,1978,1.949,"8,233.59"
Australia,AUS,East Asia and Pacific,1979,1.907,"9,272.76"
Australia,AUS,East Asia and Pacific,1980,1.891,"10,186.13"
Australia,AUS,East Asia and Pacific,1981,1.935,"11,826.04"
Australia,AUS,East Asia and Pacific,1982,1.929,"12,758.67"
Australia,AUS,East Asia and Pacific,1983,1.924,"11,510.14"
Australia,AUS,East Asia and Pacific,1984,1.84,"12,429.09"
Australia,AUS,East Asia and Pacific,1985,1.923,"11,434.35"
Australia,AUS,East Asia and Pacific,1986,1.868,"11,361.27"
Australia,AUS,East Asia and Pacific,1987,1.845,"11,625.56"
Australia,AUS,East Asia and Pacific,1988,1.831,"14,261.34"
Australia,AUS,East Asia and Pacific,1989,1.838,"17,810.95"
Australia,AUS,East Asia and Pacific,1990,1.902,"18,221.69"
Australia,AUS,East Asia and Pacific,1991,1.849,"18,836.78"
Australia,AUS,East Asia and Pacific,1992,1.888,"18,591.22"
Australia,AUS,East Asia and Pacific,1993,1.859,"17,657.24"
Australia,AUS,East Asia and Pacific,1994,1.842,"18,079.26"
Australia,AUS,East Asia and Pacific,1995,1.822,"20,360.18"
Australia,AUS,East Asia and Pacific,1996,1.796,"21,917.72"
Australia,AUS,East Asia and Pacific,1997,1.778,"23,522.78"
Australia,AUS,East Asia and Pacific,1998,1.762,"21,340.06"
Australia,AUS,East Asia and Pacific,1999,1.755,"20,536.41"
Australia,AUS,East Asia and Pacific,2000,1.756,"21,665.12"
Australia,AUS,East Asia and Pacific,2001,1.739,"19,495.15"
Australia,AUS,East Asia and Pacific,2002,1.756,"20,059.45"
Australia,AUS,East Asia and Pacific,2003,1.748,"23,440.01"
Australia,AUS,East Asia and Pacific,2004,1.768,"30,440.85"
Australia,AUS,East Asia and Pacific,2005,1.807,"33,982.95"
Australia,AUS,East Asia and Pacific,2006,1.908,"36,084.86"
Australia,AUS,East Asia and Pacific,2007,1.959,"40,957.83"
Australia,AUS,East Asia and Pacific,2008,1.984,"49,628.12"
Australia,AUS,East Asia and Pacific,2009,1.971,"42,715.13"
Australia,AUS,East Asia and Pacific,2010,1.928,"51,845.65"
Australia,AUS,East Asia and Pacific,2011,1.927,"62,216.55"
Australia,AUS,East Asia and Pacific,2012,1.921,"67,646.10"
Australia,AUS,East Asia and Pacific,2013,1.859,"67,652.68"
Australia,AUS,East Asia and Pacific,2014,1.833,"62,004.79"
Australia,AUS,East Asia and Pacific,2015,1.833,"56,290.65"
Austria,AUT,Europe and Central Asia,1960,2.69,935.46
Austria,AUT,Europe and Central Asia,1961,2.78,"1,031.82"
Austria,AUT,Europe and Central Asia,1962,2.8,"1,087.83"
Austria,AUT,Europe and Central Asia,1963,2.82,"1,167.00"
Austria,AUT,Europe and Central Asia,1964,2.79,"1,269.41"
Austria,AUT,Europe and Central Asia,1965,2.7,"1,374.53"
Austria,AUT,Europe and Central Asia,1966,2.66,"1,486.97"
Austria,AUT,Europe and Central Asia,1967,2.62,"1,569.67"
Austria,AUT,Europe and Central Asia,1968,2.58,"1,677.67"
Austria,AUT,Europe and Central Asia,1969,2.49,"1,825.39"
Austria,AUT,Europe and Central Asia,1970,2.29,"2,053.81"
Austria,AUT,Europe and Central Asia,1971,2.2,"2,375.24"
Austria,AUT,Europe and Central Asia,1972,2.08,"2,917.00"
Austria,AUT,Europe and Central Asia,1973,1.94,"3,881.35"
Austria,AUT,Europe and Central Asia,1974,1.91,"4,619.60"
Austria,AUT,Europe and Central Asia,1975,1.83,"5,272.89"
Austria,AUT,Europe and Central Asia,1976,1.69,"5,664.71"
Austria,AUT,Europe and Central Asia,1977,1.63,"6,794.22"
Austria,AUT,Europe and Central Asia,1978,1.6,"8,185.70"
Austria,AUT,Europe and Central Asia,1979,1.6,"9,770.17"
Austria,AUT,Europe and Central Asia,1980,1.65,"10,843.36"
Austria,AUT,Europe and Central Asia,1981,1.67,"9,362.64"
Austria,AUT,Europe and Central Asia,1982,1.66,"9,387.68"
Austria,AUT,Europe and Central Asia,1983,1.56,"9,514.43"
Austria,AUT,Europe and Central Asia,1984,1.52,"8,969.41"
Austria,AUT,Europe and Central Asia,1985,1.47,"9,150.00"
Austria,AUT,Europe and Central Asia,1986,1.45,"13,051.56"
Austria,AUT,Europe and Central Asia,1987,1.43,"16,353.28"
Austria,AUT,Europe and Central Asia,1988,1.45,"17,536.27"
Austria,AUT,Europe and Central Asia,1989,1.45,"17,426.86"
Austria,AUT,Europe and Central Asia,1990,1.46,"21,628.76"
Austria,AUT,Europe and Central Asia,1991,1.51,"22,356.92"
Austria,AUT,Europe and Central Asia,1992,1.51,"24,820.23"
Austria,AUT,Europe and Central Asia,1993,1.5,"24,023.52"
Austria,AUT,Europe and Central Asia,1994,1.47,"25,584.92"
Austria,AUT,Europe and Central Asia,1995,1.42,"30,252.79"
Austria,AUT,Europe and Central Asia,1996,1.45,"29,742.43"
Austria,AUT,Europe and Central Asia,1997,1.39,"26,646.88"
Austria,AUT,Europe and Central Asia,1998,1.37,"27,289.63"
Austria,AUT,Europe and Central Asia,1999,1.34,"27,116.68"
Austria,AUT,Europe and Central Asia,2000,1.36,"24,517.27"
Austria,AUT,Europe and Central Asia,2001,1.33,"24,489.74"
Austria,AUT,Europe and Central Asia,2002,1.39,"26,351.38"
Austria,AUT,Europe and Central Asia,2003,1.38,"32,102.93"
Austria,AUT,Europe and Central Asia,2004,1.42,"36,693.40"
Austria,AUT,Europe and Central Asia,2005,1.41,"38,242.04"
Austria,AUT,Europe and Central Asia,2006,1.41,"40,430.99"
Austria,AUT,Europe and Central Asia,2007,1.38,"46,586.65"
Austria,AUT,Europe and Central Asia,2008,1.42,"51,386.38"
Austria,AUT,Europe and Central Asia,2009,1.39,"47,654.19"
Austria,AUT,Europe and Central Asia,2010,1.44,"46,659.84"
Austria,AUT,Europe and Central Asia,2011,1.43,"51,123.56"
Austria,AUT,Europe and Central Asia,2012,1.44,"48,333.57"
Austria,AUT,Europe and Central Asia,2013,1.44,"50,504.72"
Austria,AUT,Europe and Central Asia,2014,1.47,"51,322.64"
Austria,AUT,Europe and Central Asia,2015,1.47,"43,636.75"
Azerbaijan,AZE,Europe and Central Asia,1990,2.74,"1,237.32"
Azerbaijan,AZE,Europe and Central Asia,1991,2.87,"1,209.24"
Azerbaijan,AZE,Europe and Central Asia,1992,2.74,676.15
Azerbaijan,AZE,Europe and Central Asia,1993,2.7,530.09
Azerbaijan,AZE,Europe and Central Asia,1994,2.52,436.19
Azerbaijan,AZE,Europe and Central Asia,1995,2.29,397.2
Azerbaijan,AZE,Europe and Central Asia,1996,2.06,409.22
Azerbaijan,AZE,Europe and Central Asia,1997,2.07,505.56
Azerbaijan,AZE,Europe and Central Asia,1998,2,561.91
Azerbaijan,AZE,Europe and Central Asia,1999,2.07,573.89
Azerbaijan,AZE,Europe and Central Asia,2000,2,655.1
Azerbaijan,AZE,Europe and Central Asia,2001,1.8,703.67
Azerbaijan,AZE,Europe and Central Asia,2002,1.8,763.1
Azerbaijan,AZE,Europe and Central Asia,2003,1.9,883.61
Azerbaijan,AZE,Europe and Central Asia,2004,2.0535,"1,045.03"
